"A1	S_T1_R1_1		"
"A2	S_T1_R1_2		"
"A3	S_T6_R2_1		"
"A4	S_T6_R2_2		"
"A5	Blank		"
"A6	Blank		"
"A7	L_T6_R2_1		"
"A8	L_T6_R2_2		"
"A9	S_T1_R2_1		"
"A10	S_T1_R2_2		"
"A11	S_T7_R1_1		"
"A12	S_T7_ R1_2		"
"B1	Blank		"
"B2	Blank		"
"B3	L_T7_R1_1		"
"B4	L_T7_R1_2		"
"B5	S_T2_R1_1		"
"B6	S_T2_R1_2		"
"B7	S_T7_R2_1		"
"B8	S_T7_R2_2		"
"B9	L_T2_R1_1		"
"B10	L_T2_R1_2		"
"B11	L_T7_R2_1		"
"B12	L_T7_R2_2		"
"C1	S_T2_R2_1		"
"C2	S_T2_R2_2		"
"C3	S_T8_R1_1		"
"C4	S_T8_R1_2		"
"C5	L_T2_R2_1		"
"C6	L_T2_R2_2		"
"C7	L_T8_R1_1		"
"C8	L_T8_R1_2		"
"C9	S_T3_R1_1		"
"C10	S_T3_R1_2		"
"C11	S_T8_R2_1		"
"C12	S_T8_R2_2		"
"D1	L_T3_R1_1		"
"D2	L_T3_R1_2		"
"D3	L_T8_R2_1		"
"D4	L_T8_R2_2		"
"D5	S_T3_R2_1		"
"D6	S_T3_R2_2		"
"D7	Blank		"
"D8	Blank		"
"D9	L_T3_R2_1		"
"D10	L_T3_R2_2		"
"D11	L_T9_R1_1		"
"D12	L_T9_R1_2		"
"E1	S_T4_R1_1		"
"E2	S_T4_R1_2		"
"E3	Blank		"
"E4	Blank		"
"E5	L_T4_R1_1		"
"E6	L_T4_R1_2		"
"E7	L_T9_R2_1		"
"E8	L_T9_R2_2		"
"E9	S_T4_R2_1		"
"E10	S_T4_R2_2		"
"E11	Blank		"
"E12	Blank		"
"F1	L_T4_R2_1		"
"F2	L_T4_R2_2		"
"F3	L_T10_R1_1		"
"F4	L_T10_R1_2		"
"F5	Blank		"
"F6	Blank		"
"F7	Blank		"
"F8	Blank		"
"F9	Blank		"
"F10	Blank		"
"F11	L_T10_R2_1		"
"F12	L_T10_R2_2		"
"G1	S_T5_R1_1		"
"G2	S_T5_R1_2		"
"G3	S_T11_R1_1		"
"G4	S_T11_R1_2		"
"G5	L_T5_R1_1		"
"G6	L_T5_R1_2		"
"G7	L_T11_R1_1		"
"G8	L_T11_R1_2		"
"G9	S_T5_R2_1		"
"G10	S_T5_R2_2		"
"G11	S_T11_R2_1		"
"G12	S_T11_R2_2		"
"H1	L_T5_R2_1		"
"H2	L_T5_R2_2		"
"H3	L_T11_R2_1		"
"H4	L_T11_R2_2		"
"H5	S_T6_R1_1		"
"H6	S_T6_R1_2		"
"H7	S_T0_1		"
"H8	S_T0_2		"
"H9	L_T6_R1_1		"
"H10	L_T6_R1_2		"
"H11	L_T0_1		"
"H12	L_T0_2		"
