Experiment Name:,Exp_20200528_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Record Time:,Volume(£gL):,All Events  Events/£gL(V),HB Events/£gL(V),Time Events/£gL(V),Cells Events/£gL(V),P2 Events/£gL(V),P3 Events/£gL(V),P1 Events/£gL(V),Bac Events/£gL(V),All Events ,HB Events,Time Events,Cells Events,P2 Events,P3 Events,P1 Events,Bac Events,All Events  % Parent,HB % Parent,Time % Parent,Cells % Parent,P2 % Parent,P3 % Parent,P1 % Parent,Bac % Parent,All Events  % Total,HB % Total,Time % Total,Cells % Total,P2 % Total,P3 % Total,P1 % Total,Bac % Total,All Events  Mean FSC-H,HB Mean FSC-H,Time Mean FSC-H,Cells Mean FSC-H,P2 Mean FSC-H,P3 Mean FSC-H,P1 Mean FSC-H,Bac Mean FSC-H,All Events  Mean BL525-H,HB Mean BL525-H,Time Mean BL525-H,Cells Mean BL525-H,P2 Mean BL525-H,P3 Mean BL525-H,P1 Mean BL525-H,Bac Mean BL525-H,All Events  Mean BL690-H,HB Mean BL690-H,Time Mean BL690-H,Cells Mean BL690-H,P2 Mean BL690-H,P3 Mean BL690-H,P1 Mean BL690-H,Bac Mean BL690-H,All Events  rSD BL525-H,HB rSD BL525-H,Time rSD BL525-H,Cells rSD BL525-H,P2 rSD BL525-H,P3 rSD BL525-H,P1 rSD BL525-H,Bac rSD BL525-H
E3 L_T2_R1_1(1),2020-05-28 15:53,30,171.87,77.44,167.54,156.87,171.74,3.07,0.97,85.37,5156,2323,4857,4706,5152,92,29,2561,100.00%,90.71%,94.20%,96.89%,99.92%,3.59%,1.13%,54.42%,100.00%,45.05%,94.20%,91.27%,99.92%,1.78%,0.56%,49.67%,4149.1,2906.6,2964.8,3007.6,4057.7,3081.6,3794.3,2927.2,129702.5,165817.9,123434.4,126607.8,129342.3,27706.6,172232.5,155399.9,5677,4419.6,4392.7,4507.1,5659.6,2653.6,69568.2,5056,56060.4,83893.2,55374.4,56436.5,56004,6838.9,44001.9,81889.2
E4 L_T2_R2_1(1),2020-05-28 15:54,30,120.27,50.57,121.08,112.33,120.2,1.5,0.8,55.07,3608,1517,3510,3370,3606,45,24,1652,100.00%,91.83%,97.28%,96.01%,99.94%,2.72%,1.45%,49.02%,100.00%,42.05%,97.28%,93.40%,99.94%,1.25%,0.67%,45.79%,4896.7,3184,3114,3168,4618.6,3098.8,3637.1,3179.2,98750.4,103347.5,87912.2,90598.6,98138.1,21903.5,181898.2,99280.9,5254.3,3005.6,3716.6,3839.8,5004.3,2519.6,67697.7,3957.2,41921.8,55305.4,40216.9,41858.8,41921.8,6112.9,54688.1,54607.9
E5 L_T3_R1_1(1),2020-05-28 15:55,30,241.98,101.82,238.05,224.07,241.91,5.37,1.6,113.65,7258,3054,6901,6721,7256,161,48,3409,100.00%,89.59%,95.08%,97.39%,99.97%,4.72%,1.41%,50.72%,100.00%,42.08%,95.08%,92.60%,99.97%,2.22%,0.66%,46.97%,3582.5,2739.4,2751.3,2781.9,3558.3,2883.4,4069.9,2777.8,108022.3,132916.5,102127.3,104215.9,106686.4,35238.9,176703.2,126876.3,5133.8,3552.5,4249.6,4342.3,5016.2,3609.8,65946,4531.8,46453.3,63786.5,45962.4,46627,46451.2,10466.4,34761.3,63510.9
E6 L_T3_R2_1(1),2020-05-28 15:57,30,173.13,67.15,170.79,159.83,173.1,2.37,1.7,75.18,5193,2014,4951,4794,5192,71,51,2255,100.00%,89.31%,95.34%,96.83%,99.98%,3.15%,2.26%,47.04%,100.00%,38.78%,95.34%,92.32%,99.98%,1.37%,0.98%,43.42%,3689.9,2731.9,2696.2,2731.1,3591.4,3187,4016.5,2782.1,83893.9,95144.6,76353.3,78060.3,83905,34402.2,186467.7,93001.6,4423.6,2731.1,3691.1,3786.4,4417.3,3428.2,75827.7,4626.1,37884.4,46797.7,37072.4,37879.3,37892.3,11857.1,35324.1,48010.9
E7 L_T4_R1_1(1),2020-05-28 15:58,30,289.67,119.1,290.35,273,289.53,4.7,2.6,132.43,8690,3573,8417,8190,8686,141,78,3973,100.00%,89.93%,96.86%,97.30%,99.95%,3.55%,1.96%,48.51%,100.00%,41.12%,96.86%,94.25%,99.95%,1.62%,0.90%,45.72%,3638,2633.1,2513.4,2540.4,3198.5,2992,3698.1,2678.9,89049.6,102583.4,81575.7,83090.4,86975.8,43610,164759,99484.9,4803.8,2915,3476.3,3548.3,4212.6,4177.6,61582.6,4251.2,41186.3,50272.7,40455.3,40781.3,41127.3,26010.3,34678.1,51556.4
E8 L_T4_R2_1(1),2020-05-28 15:59,30,253.74,101.87,247.37,232.44,253.5,4.87,1.9,113.57,7612,3056,7171,6973,7605,146,57,3407,100.00%,89.70%,94.21%,97.24%,99.91%,4.29%,1.67%,48.86%,100.00%,40.15%,94.21%,91.61%,99.91%,1.92%,0.75%,44.76%,3435.7,2529.6,2452.9,2472.7,3297,3171.6,3555.2,2590.4,85540.8,93619.3,78994.8,80478,83082.3,33431,167664.9,90955.2,4984,2711.8,3485.7,3559.4,4282.9,3511.2,66079.8,3981.4,41375.9,49796.1,40843.4,41165.4,41337.4,10491,42813.3,50080.6
E9 blank(1),2020-05-28 16:01,30,8,2.53,7.28,6.97,8,0.27,0.03,4,240,76,211,209,240,8,1,120,100.00%,63.33%,87.92%,99.05%,100.00%,6.67%,0.83%,57.42%,100.00%,31.67%,87.92%,87.08%,100.00%,3.33%,0.42%,50.00%,20415.4,2917,3336.8,3353.6,20415.4,2770.5,6322.4,3085.3,104497.5,151694.5,95502.8,96303.7,104497.5,29158.8,194929.8,109334.9,14841.4,4103.5,5495.8,5543.8,14841.4,4174.3,24010.2,5704,46053.4,139448.8,45077.6,44882.9,46053.4,6997.2,0,41563.9
E10 L_T5_R1_1(1),2020-05-28 16:02,30,361.78,153.8,355.61,332.27,361.44,5.4,1.7,166.74,10853,4614,10309,9968,10843,162,51,5002,100.00%,92.24%,94.99%,96.69%,99.91%,3.24%,1.02%,50.18%,100.00%,42.51%,94.99%,91.85%,99.91%,1.49%,0.47%,46.09%,3237.6,2556.4,2401,2435.2,2901.9,2935,3638.3,2590.1,105034.1,126797.5,100342.2,102682,103025.1,36186.8,163339,122191.4,4235,3416,3397.7,3479.4,3972.8,3599,45952.1,3950.4,53447.6,72397.9,52875.9,54509.7,53357.6,15141.3,31177.3,71635.3
E11 L_T5_R2_1(1),2020-05-28 16:03,30,320.11,132.77,319.7,300.28,319.74,4.57,1.67,144.94,9603,3983,9268,9008,9592,137,50,4348,100.00%,91.61%,96.51%,97.19%,99.89%,3.15%,1.15%,48.27%,100.00%,41.48%,96.51%,93.80%,99.89%,1.43%,0.52%,45.28%,3195.7,2628.2,2562.5,2592.9,3009.2,3096.8,3634.1,2677.6,100989.6,112504.5,93375.6,95258.8,97885.4,40613,173417,109202.1,5000.6,3175.6,4117.6,4211.7,4614.8,3786.7,57209.9,4069.8,46699.4,59367.5,46404,46881.4,46639.3,20962.8,39395.4,59229.9
E12 L_T6_R1_1(1),2020-05-28 16:05,30,376.28,151.4,382.28,358.04,375.88,6.03,2.63,166.47,11286,4541,11082,10739,11274,181,79,4993,100.00%,90.95%,98.19%,96.90%,99.89%,3.63%,1.58%,46.49%,100.00%,40.24%,98.19%,95.15%,99.89%,1.60%,0.70%,44.24%,2942.9,2502.5,2360.6,2393.5,2811.2,3008.7,3735.3,2549.7,78224,80433.4,72368.8,73661.4,75057.4,39558.3,174606.5,79783.7,3989,2389.9,3273.5,3344.8,3653.6,3886.2,60031.9,3466.6,40997,44956.6,40766.7,40896.9,40977.6,16479.4,44400.6,46335.4
F1 blank(1),2020-05-28 16:06,30,12.07,3.3,10.28,9.7,12,0.4,0.03,4.87,362,99,298,291,360,12,1,146,100.00%,67.81%,82.32%,97.65%,99.45%,8.22%,0.68%,50.17%,100.00%,27.35%,82.32%,80.39%,99.45%,3.31%,0.28%,40.33%,24999.8,2914.8,3469.6,3496.4,12287,2489.2,1695.2,3031.3,102429.6,148399.3,105341.3,107391.4,100533.9,19720.5,215080.4,116652.1,11202.9,4233.1,5881.5,6006.5,9001.7,2428.4,53761.6,5754.4,46434.8,119091.6,52650.9,52472,45974.5,7459.1,0,61936.4
F2 blank(1),2020-05-28 16:08,30,6.83,1.8,6.04,5.77,6.77,0.4,0.13,3.2,205,54,175,173,203,12,4,96,100.00%,56.25%,85.37%,98.86%,99.02%,12.50%,4.17%,55.49%,100.00%,26.34%,85.37%,84.39%,99.02%,5.85%,1.95%,46.83%,9307.2,3276.2,4157.9,4189,9375.5,3567,4647.3,3495.2,79753.5,129706.3,85491.9,86317.1,79394.6,43585.7,148701.2,100359,11866.5,4128.4,7969.6,8055.6,11958.8,4790.9,17253.1,6645.8,29380.2,114379.8,32437.4,32922.9,29380.2,24011.7,25840.1,56641
F3 L_T2_R1_2(1),2020-05-28 16:09,30,162.1,71.81,158.99,148.8,162.06,3.9,0.87,80.82,4862,2154,4609,4463,4861,117,26,2424,100.00%,88.86%,94.80%,96.83%,99.98%,4.83%,1.07%,54.31%,100.00%,44.30%,94.80%,91.79%,99.98%,2.41%,0.53%,49.86%,3803.5,2927.6,2989.7,3036.4,3684.8,3235.2,3900.1,2972,125236.3,157671.9,119631.3,122691,125250.5,29480,194145.9,145849.9,5404,4153.7,4705.5,4832.1,5390.7,2772.3,69523.8,4821.4,51202.9,81843.3,50978.3,52989.6,51177.3,8160.8,49239.7,77606.6
F4 L_T2_R2_2(1),2020-05-28 16:10,30,132.85,51.14,130.01,121.55,132.71,2.27,0.93,57.94,3985,1534,3769,3646,3981,68,28,1738,100.00%,88.26%,94.58%,96.74%,99.90%,3.91%,1.61%,47.67%,100.00%,38.49%,94.58%,91.49%,99.90%,1.71%,0.70%,43.61%,4222.2,3081.7,3085.3,3132.8,3959.1,3127.7,3597,3084.5,80230.8,87945.4,71423.4,72884.1,78001,21289.7,164866.9,82944.1,5422.3,2545.2,3562.3,3653.6,4517.6,2332.2,64994.8,3646.7,31341,42745.1,30802.9,31390,31283.5,5895.3,23125.8,40963.2
F5 L_T3_R1_2(1),2020-05-28 16:12,30,252.07,105.9,252.33,237,251.9,5.63,1.83,119.23,7562,3177,7315,7110,7557,169,55,3577,100.00%,88.82%,96.73%,97.20%,99.93%,4.72%,1.54%,50.31%,100.00%,42.01%,96.73%,94.02%,99.93%,2.23%,0.73%,47.30%,3657.7,2785.9,2775.9,2816.1,3445.3,3240.6,3961.2,2824.8,101644.6,128703.1,96405.9,98453.7,100171.5,34957.4,165387.4,121041.7,5716.8,3438.4,4692.9,4805.3,5389.5,3363.3,72617,4607.5,44152.5,59910.2,43390.8,44217.4,44100.8,15217.3,30676.8,58654
F6 L_T3_R2_2(1),2020-05-28 16:13,30,172.87,70.8,173.79,162.4,172.67,2.83,1.53,78.57,5186,2124,5038,4872,5180,85,46,2357,100.00%,90.11%,97.15%,96.71%,99.88%,3.61%,1.95%,48.38%,100.00%,40.96%,97.15%,93.95%,99.88%,1.64%,0.89%,45.45%,3114.8,2769.9,2728.7,2762,3011.4,2915.2,3629.4,2794.3,81688.3,91636,74664.7,76424.9,76719.5,31045.9,163545.1,88660,4256.8,2621.5,3655.2,3754.3,3946.4,3047.8,69539.5,4012.2,36882.1,46801.8,36457.2,37473.3,36788.5,8588,26473.2,47777.4
F7 L_T4_R1_2(1),2020-05-28 16:14,30,260.3,104.1,261.72,244.23,260.13,4.97,1.93,116.33,7809,3123,7587,7327,7804,149,58,3490,100.00%,89.48%,97.16%,96.57%,99.94%,4.27%,1.66%,47.63%,100.00%,39.99%,97.16%,93.83%,99.94%,1.91%,0.74%,44.69%,3592.4,2580.1,2585.8,2623.7,3243.3,3022.8,3716.6,2639.1,85948.6,97411,79797.1,81631.2,83199.6,38971.7,162040.8,94001.2,5940,2743,3837.7,3941,4636,3784.2,63905.6,3969.3,41443.4,48629.1,41206.3,41703.9,41441.3,13028.9,34984.5,49642.6
F8 L_T4_R2_2(1),2020-05-28 16:16,30,261.58,103.57,255.89,240.05,261.45,5.23,1.7,115.87,7847,3107,7418,7201,7843,157,51,3476,100.00%,89.38%,94.53%,97.07%,99.95%,4.52%,1.47%,48.27%,100.00%,39.59%,94.53%,91.77%,99.95%,2.00%,0.65%,44.30%,3041.6,2553.8,2445.9,2478.4,2918.7,3077.4,3918.4,2625,79147.3,89944.4,75749.1,77074.6,79158.7,36917.2,175346.2,87195.5,4359.6,2605.7,3636.9,3716.4,4341,3685.6,73777.6,3859.2,40280.5,46241.8,39990.1,40349.7,40280.8,13965.2,56512.4,46819.6
F9 L_T5_R1_2(1),2020-05-28 16:17,30,6.47,1.93,6.07,5.83,6.47,0.2,0.07,2.67,194,58,176,175,194,6,2,80,100.00%,72.50%,90.72%,99.43%,100.00%,7.50%,2.50%,45.71%,100.00%,29.90%,90.72%,90.21%,100.00%,3.09%,1.03%,41.24%,7898.5,2696.2,4275,4293,7898.5,2480.2,7684.5,2907.7,90581.5,125054,92663.4,93124.3,90581.5,42031.4,216182.8,127070.5,13442.9,3549.5,7811.3,7853.4,13442.9,4881.4,50135.7,6345.7,43688.4,88207,44995.6,45156,43688.4,11835.7,44489.9,102979.2
F10 L_T5_R2_2(1),2020-05-28 16:18,30,362.8,152.53,355.51,334.13,362.27,5.73,2,166.93,10884,4576,10306,10024,10868,172,60,5008,100.00%,91.37%,94.69%,97.26%,99.85%,3.43%,1.20%,49.96%,100.00%,42.04%,94.69%,92.10%,99.85%,1.58%,0.55%,46.01%,3943.1,2573.1,2475,2502.1,3097.3,3010.9,3566,2607.9,103610.1,118056.1,97311.3,99146.7,99832.8,38858.8,158500.8,113358.8,5114.6,3180.1,3582.5,3652.5,4227,3730.8,46002.4,3833.9,52354.1,67937.1,51841,52775.5,52252.8,17581.9,39280.2,66644.6
F11 L_T6_R1_2(1),2020-05-28 16:20,30,280.23,114.5,275.55,258.77,280,3.9,2.07,125.27,8407,3435,7988,7763,8400,117,62,3758,100.00%,91.41%,95.02%,97.18%,99.92%,3.11%,1.65%,48.41%,100.00%,40.86%,95.02%,92.34%,99.92%,1.39%,0.74%,44.70%,2717.4,2512.7,2417.5,2445.2,2677.3,2966.1,3551,2558.7,91620.3,105678.1,88215.3,89993.6,89075.4,36965.9,172163,103427.8,4280.9,2969.2,3713.8,3795.7,4065.1,3590.4,62462,4188.5,45097,56850.8,44970.3,45448.1,44942.3,13189.1,40820.1,58250.8
F12 L_T6_R2_2(1),2020-05-28 16:21,30,332.4,132.4,338.85,317.37,332.17,6.23,2.87,148.1,9972,3972,9823,9521,9965,187,86,4443,100.00%,89.40%,98.51%,96.93%,99.93%,4.21%,1.94%,46.67%,100.00%,39.83%,98.51%,95.48%,99.93%,1.88%,0.86%,44.55%,2806.3,2514.9,2425.4,2454.8,2757.4,3091.7,3670.8,2580.1,76532.7,83538,73243.2,74693.6,74940.3,37909.3,169216.3,82276,4217.3,2476.3,3669.8,3756.8,3997.9,3698.5,61186.3,3892.7,42114.7,47250.2,41970.9,42176.6,42105.8,16920.9,37801.4,49046.2
G1 L_T6_R2_1(1),2020-05-28 16:23,30,443.98,172.7,439.16,409.08,443.64,7.37,2.9,190.64,13319,5181,12731,12272,13309,221,87,5719,100.00%,90.59%,95.59%,96.39%,99.92%,3.86%,1.52%,46.60%,100.00%,38.90%,95.59%,92.14%,99.92%,1.66%,0.65%,42.94%,2876.9,2524.7,2403.8,2443.4,2744,3160.1,3911.2,2589.5,73012.4,77581.5,68455.5,69898.3,70554,34276.8,167482.6,76841.3,4585.2,2309.6,3329.5,3418.1,3859.4,3380,70619.6,3580.8,38489.9,41363.6,38294.1,38508.1,38456.1,13511.7,34264.4,42531.5
G2 L_T7_R1_1(1),2020-05-28 16:24,30,556.98,253.04,567,533.08,556.38,21,3.33,284.31,16709,7591,16437,15992,16691,630,100,8529,100.00%,89.00%,98.37%,97.29%,99.89%,7.39%,1.17%,53.33%,100.00%,45.43%,98.37%,95.71%,99.89%,3.77%,0.60%,51.04%,3018.5,2774.2,2632.6,2674.7,2963.3,2981.3,3997.7,2818,151986.4,192308.1,147969.3,150835.9,150863.6,24360.3,192229.9,176807.8,5607.5,4693.1,4725.6,4821.1,5470.2,2655,62775.3,5285.1,113367.3,142719.7,112841.1,118378,112950.4,8778,47775.7,156779.5
G3 L_T7_R2_1(1),2020-05-28 16:25,30,575.4,262.23,566.07,533.97,574.9,18.53,3.97,292.43,17262,7867,16410,16019,17247,556,119,8773,100.00%,89.67%,95.06%,97.62%,99.91%,6.34%,1.36%,54.77%,100.00%,45.57%,95.06%,92.80%,99.91%,3.22%,0.69%,50.82%,3140,2783.7,2632.4,2664.5,3095.6,2978.1,3958.9,2829.8,142722.7,178594.3,137665.9,140097.2,141574.8,24166.8,184016,165477.8,5510.8,4407.3,4631.7,4717.6,5306.2,2582.9,58244.3,5085.4,81271.2,160379.8,80961.7,84045.6,81094.5,7239.8,54564.4,142393.7
G4 L_T8_R1_1(1),2020-05-28 16:27,30,722.57,376.5,721.44,686.77,721.31,35.3,3.4,423.34,21677,11295,20914,20603,21639,1059,102,12700,100.00%,88.94%,96.48%,98.51%,99.82%,8.34%,0.80%,61.64%,100.00%,52.11%,96.48%,95.05%,99.82%,4.89%,0.47%,58.59%,3343.7,2888.1,2785.5,2807.6,3190.2,2980.8,3964.5,2919,182175.7,221993.5,177829.1,179971.6,180996,24381.1,180385.2,202028,6148.7,5427,5355.8,5419.7,5873.5,2728,54983.8,5642.2,171555.2,112885.3,170753.5,169673.2,171397,8753.7,35311.3,143059.5
G5 L_T8_R2_1(1),2020-05-28 16:28,30,624.57,323.2,633.41,603,623.5,21.43,2.97,353.4,18737,9696,18362,18090,18705,643,89,10602,100.00%,91.45%,98.00%,98.52%,99.83%,6.06%,0.84%,58.61%,100.00%,51.75%,98.00%,96.55%,99.83%,3.43%,0.47%,56.58%,3258,2784.9,2708,2729.8,3074.5,3129.4,3992.6,2825.4,171454.2,203757.7,164282.7,166267.9,169038.6,24255.5,182417.1,190105.4,6261,4983.5,4866.4,4924,5798.9,2786.1,60094.4,5332.2,152231,122641.4,151360.2,154485.2,151716.4,8369.3,52298.3,140566.7
G6 L_T9_R1_1(1),2020-05-28 16:29,30,1009.15,543.41,999.88,953.45,1005.42,40.17,3.43,594.41,30274,16302,28986,28603,30162,1205,103,17832,100.00%,91.42%,95.75%,98.68%,99.63%,6.76%,0.58%,62.34%,100.00%,53.85%,95.75%,94.48%,99.63%,3.98%,0.34%,58.90%,3558.7,2905.3,2806.9,2829.1,3144.2,3282.7,4082.8,2951,209056,233473.9,196620.5,198577,202900.5,25748.2,186617.8,217031.4,6912.5,5729.8,5693.6,5750.6,6310.4,3542.2,51314.9,5897.8,145489.7,86538.5,143713.2,140542.6,145435.7,9419.3,38749.4,102605.8
G7 L_T9_R2_1(1),2020-05-28 16:31,30,631.49,362.01,646.89,618.76,630.56,21.43,2.47,391.21,18944,10860,18753,18562,18916,643,74,11736,100.00%,92.54%,98.99%,98.98%,99.85%,5.48%,0.63%,63.23%,100.00%,57.33%,98.99%,97.98%,99.85%,3.39%,0.39%,61.95%,3172.7,2821.9,2703,2718.2,3018.3,2867.3,4019,2837.2,194042.1,227754.3,189856.8,191432.1,192886.8,23405.8,208607.2,214233.8,6117.6,5502.3,5348.1,5392.1,5966.9,2725.1,67431.4,5770.2,149571.4,90860.1,148720.6,146656.5,149638.7,7292.5,47891.7,105201.1
G8 L_T10_R1_1(1),2020-05-28 16:32,30,1342.07,778.14,1326.56,1270.37,1337,47.97,2.67,839.44,40262,23344,38456,38111,40110,1439,80,25183,100.00%,92.70%,95.51%,99.10%,99.62%,5.71%,0.32%,66.08%,100.00%,57.98%,95.51%,94.66%,99.62%,3.57%,0.20%,62.55%,3325.5,3072.9,2970.1,2987.8,3253.1,3381.7,3981.1,3102.5,222007.3,243658.7,216391.7,217726,219981.1,26994.9,183158.2,228747.8,6303.2,5870.7,5719.2,5754.6,6151.7,2975.1,62907.1,5896.4,107704.1,80975.6,106593.4,104882.3,107812.9,9740.4,41911.5,89613.8
G9 L_T10_R2_1(1),2020-05-28 16:33,30,1690.83,1032.17,1709.08,1639.57,1681.7,58.7,3.97,1105.97,50725,30965,49545,49187,50451,1761,119,33179,100.00%,93.33%,97.67%,99.28%,99.46%,5.31%,0.36%,67.45%,100.00%,61.04%,97.67%,96.97%,99.46%,3.47%,0.23%,65.41%,3242.5,3012.1,2915.2,2928.9,3141.9,3168.3,4074.2,3030.4,232457.8,249486.4,224403.5,225566,229041.5,26423.1,184512.1,235515.1,6518.8,6025,5904.5,5934.8,6225.2,2950.8,58470.6,6049.7,97519.1,75614.5,96546.9,95462.5,97536.3,9644.9,52611.8,83242.9
G10 L_T11_R1_1(1),2020-05-28 16:35,30.2,530.98,304.33,540.89,515.84,530.19,8.22,2.12,323.15,16029,9187,15778,15572,16005,248,64,9755,100.00%,94.18%,98.43%,98.69%,99.85%,2.54%,0.66%,62.64%,100.00%,57.31%,98.43%,97.15%,99.85%,1.55%,0.40%,60.86%,3935.2,2885.9,2922.5,2943.8,3639.5,3405.9,3883,2927.1,202802.4,220533.9,196234.7,197659.8,199557.4,42372,191628.7,212405.9,7686.1,5298.9,5584,5627.4,6995.4,3847.8,56204,5703.5,142428.6,156689.9,141779.8,143068.5,142050.4,16776.3,54125.9,157384.8
G11 L_T11_R2_1(1),2020-05-28 16:36,30,2706.79,1626.48,2676.23,2570.09,2679.89,102.4,3.87,1747.32,81203,48794,77582,77102,80396,3072,116,52419,100.00%,93.08%,95.54%,99.38%,99.01%,5.86%,0.22%,67.99%,100.00%,60.09%,95.54%,94.95%,99.01%,3.78%,0.14%,64.55%,3481.4,3206,3110.7,3125.1,3329.1,3354.1,4303.1,3222.8,255623.5,265915,245975.3,246962.3,251194.9,28540.8,195138.3,250214.8,7177.8,6439.3,6366.5,6391.9,6758.1,3335.3,60029.4,6372.3,83064.7,66690.3,82082.4,81518.9,83176.5,10588.4,52609.4,73624.4
G12 L_T0_1(1),2020-05-28 16:37,30,381.88,138.5,373.9,351.31,381.25,17.87,3.4,172.24,11456,4155,10839,10539,11437,536,102,5167,100.00%,80.41%,94.61%,97.23%,99.83%,10.37%,1.97%,49.03%,100.00%,36.27%,94.61%,92.00%,99.83%,4.68%,0.89%,45.10%,3798.7,2598,2755.5,2794.2,3581.7,3643.7,3997.3,2791.7,84570.1,84241.5,72341.9,73554.2,80294.1,32047.5,173492.2,78672.5,5724.5,2525.2,3775.7,3854.4,5268.2,3453.2,58924.4,3965.4,39566.1,45777.6,39012.8,39480.4,39450.5,12831.3,40540,44860.8
H1 L_T6_R2_2(1),2020-05-28 16:39,30,491.51,192.85,488.25,455.67,491.17,7.07,3.03,210.25,14744,5785,14154,13669,14734,212,91,6307,100.00%,91.72%,96.00%,96.57%,99.93%,3.36%,1.44%,46.14%,100.00%,39.24%,96.00%,92.71%,99.93%,1.44%,0.62%,42.78%,3014.5,2589.1,2432,2469.2,2730.5,3085.6,3646.4,2634.6,71020.2,75890.7,68304.2,69662.5,69683.7,35303.8,157594.8,75194.6,3263.4,2209.5,2879.9,2948.5,3168.5,3502.6,58833.6,3183,37632.2,41225,37357.1,37615.3,37608.4,11546.1,30703.9,42448.6
H2 L_T7_R1_2(1),2020-05-28 16:41,30,635.16,310.81,624.78,593.76,634.63,20.37,2.77,340.48,19054,9324,18112,17812,19038,611,83,10214,100.00%,91.29%,95.06%,98.34%,99.92%,5.98%,0.81%,57.34%,100.00%,48.93%,95.06%,93.48%,99.92%,3.21%,0.44%,53.61%,3123.2,2837.8,2674.5,2694.8,2977.6,3047.5,3736.4,2869.3,154592.3,190144.1,149499.4,151420,153020.4,24315.4,179210.5,177546,5081.3,4635.8,4550.6,4609.3,5017.1,2654.5,51650.1,4944.6,116562.8,145900.5,116294.4,119799.5,116399.1,7029.7,40414.2,156196.2
H3 L_T7_R2_2(1),2020-05-28 16:42,30,466.48,218.49,478.25,451.31,465.91,20.57,2.73,248.36,13993,6554,13864,13538,13976,617,82,7450,100.00%,87.97%,99.08%,97.65%,99.88%,8.28%,1.10%,55.03%,100.00%,46.84%,99.08%,96.75%,99.88%,4.41%,0.59%,53.24%,3234.5,2776.9,2604.9,2633.6,3024,2844.5,3851.6,2811.1,140012.8,178926.4,134841,137284.9,137759.4,23255,193461.7,162896.3,5286.1,4449.2,4366.4,4447.5,5007.4,2481.3,62302.4,4976.2,80497.3,159279.7,79966.5,83888.5,80407.4,7433.3,44941.8,140289.8
H4 L_T8_R1_2(1),2020-05-28 16:43,30,755.97,391.77,743.76,707.4,754.44,29.23,3.1,432.83,22679,11753,21561,21222,22633,877,93,12985,100.00%,90.51%,95.07%,98.43%,99.80%,6.75%,0.72%,61.19%,100.00%,51.82%,95.07%,93.58%,99.80%,3.87%,0.41%,57.26%,3280.1,2880.5,2755.9,2782.5,3154.7,3115.4,3840.6,2915.9,184667.7,220224.8,177860.9,179992.8,181591.7,24404.4,196445.1,203479.7,6387.9,5386.7,5243.4,5307.4,5876.1,2658.5,64126.8,5680.9,166740.1,109540.3,165971.3,164158.9,166474,7899.6,61330.1,133472.6
H5 L_T8_R2_2(1),2020-05-28 16:45,30,621.1,321.07,627.51,596.73,619.9,25.33,3.17,355.83,18633,9632,18191,17902,18597,760,95,10675,100.00%,90.23%,97.63%,98.41%,99.81%,7.12%,0.89%,59.63%,100.00%,51.69%,97.63%,96.08%,99.81%,4.08%,0.51%,57.29%,3187.1,2767.8,2675.1,2694.8,3021.1,3092.6,4063.4,2812.5,175029.4,208801,167431.3,169519.5,171581.2,26231,194574.3,193065.9,5794,5140.7,5086.3,5150.5,5600.2,3123.5,60242.3,5522.3,155492.3,125541.9,154970,157850.1,155214.6,9021.8,52260.9,146517.4
H6 L_T9_R1_2(1),2020-05-28 16:46,30,853.67,473.1,866.08,828.07,851.4,32.3,2.93,516.17,25610,14193,25107,24842,25542,969,88,15485,100.00%,91.66%,98.04%,98.94%,99.73%,6.26%,0.57%,62.33%,100.00%,55.42%,98.04%,97.00%,99.73%,3.78%,0.34%,60.46%,3238,2903.7,2773.4,2789.5,3056,3194.8,4193.1,2936.9,204215.5,226682.2,194816.3,196418.7,199182.2,26358,197540.8,211476.9,6470.1,5501,5483.6,5528.1,5996.4,3271.2,60155.1,5701.5,142156.2,87799.6,141256.5,138957,142106.8,9543.9,49058.8,103472
H7 L_T9_R2_2(1),2020-05-28 16:47,30,884.49,467.51,865.42,823.73,882.63,28.93,2.93,506.58,26534,14025,25088,24711,26478,868,88,15197,100.00%,92.29%,94.55%,98.50%,99.79%,5.71%,0.58%,61.50%,100.00%,52.86%,94.55%,93.13%,99.79%,3.27%,0.33%,57.27%,3226,2905.7,2788.2,2813.3,3100,3168,4005.5,2940.6,198880.8,225352.5,192604.8,194819.9,196551.4,25190.7,189537.8,211328,6358.4,5483.6,5427.4,5489.6,5964.3,2791.9,65105.1,5712.3,148934.6,95570.6,148085.1,145020.2,149032.7,8090.8,50514,112396.2
