Station,Time,DF,Treatment,HNF
2-5,T24,40,T24_8_1,
2-5,T24,40,T24_8_2,
2-5,T24,60,T24_9_1,
2-5,T24,60,T24_9_2,
2-5,T24,80,T24_10_1,
2-5,T24,80,T24_10_2,
2-5,T24,100,T24_11_1,
2-5,T24,100,T24_11_2,
6-5,T0,0,T0_6,47.77
6-5,T0,20,T0_7,65.67
6-5,T0,40,T0_8,93.53
6-5,T0,60,T0_9,100.5
6-5,T0,80,T0_10,81.6
6-5,T0,100,T0_11,70.65
6-5,T12,0,T12_6_1,33.83
6-5,T12,0,T12_6_2,50.75
6-5,T12,20,T12_7_1,113.43
6-5,T12,20,T12_7_2,109.45
6-5,T12,40,T12_8_1,232.84
6-5,T12,40,T12_8_2,272.64
6-5,T12,60,T12_9_1,347.26
6-5,T12,60,T12_9_2,404.98
6-5,T12,80,T12_10_1,284.58
6-5,T12,80,T12_10_2,626.88
6-5,T12,100,T12_11_1,224.89
6-5,T12,100,T12_11_2,143.28
6-5,T24,0,T24_6_1,23.88
6-5,T24,0,T24_6_2,48.76
6-5,T24,20,T24_7_1,165.17
6-5,T24,20,T24_7_2,187.06
6-5,T24,40,T24_8_1,401.99
6-5,T24,40,T24_8_2,225.87
6-5,T24,60,T24_9_1,681.59
6-5,T24,60,T24_9_2,643.78
6-5,T24,80,T24_10_1,581.09
6-5,T24,80,T24_10_2,666.67
6-5,T24,100,T24_11_1,122.39
6-5,T24,100,T24_11_2,41.79
2-7,T0,0,T0_6,72.64
2-7,T0,20,T0_7,121.4
2-7,T0,40,T0_8,196.02
2-7,T0,60,T0_9,256.72
2-7,T0,80,T0_10,282.59
2-7,T0,100,T0_11,327.39
2-7,T12,0,T12_6_1,89.55
2-7,T12,0,T12_6_2,129.36
2-7,T12,20,T12_7_1,364.18
2-7,T12,20,T12_7_2,378.11
2-7,T12,40,T12_8_1,778.11
2-7,T12,40,T12_8_2,977.12
2-7,T12,60,T12_9_1,1099.52
2-7,T12,60,T12_9_2,1823.88
2-7,T12,80,T12_10_1,1718.43
2-7,T12,80,T12_10_2,2671.67
2-7,T12,100,T12_11_1,1053.74
2-7,T12,100,T12_11_2,807.96
