Experiment Name:,NOR3 CR0015 HNF St 6-3'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
1.8um,2020-08-04 17:11:16,13.5,NOR3 Cr0015 HNF,198,9,39,23,2,0,1,14.64,0.67,2.88,1.70,0.15,0.00,0.07,100.00%,39.13%,19.70%,58.97%,22.22%,0.00%,11.11%,100.00%,4.55%,19.70%,11.62%,1.01%,0.00%,0.51%,50491.1,36322.0,41035.9,27926.4,37395.4,####,82426.7,7688437.0,4736016.0,3490272.0,5838757.0,324021.7,####,1381839.6,235696.5,240435.3,171061.5,209297.7,360159.9,####,301399.2
ST6-3 T0 6,2020-10-19 15:26:03,1005.0,NOR3 Cr0015 HNF,14984,870,13227,1332,319,216,27,14.91,0.87,13.16,1.33,0.32,0.21,0.03,100.00%,65.32%,88.27%,10.07%,36.67%,24.83%,3.10%,100.00%,5.81%,88.27%,8.89%,2.13%,1.44%,0.18%,33307.2,82270.1,31132.9,61213.3,104494.5,71752.4,76647.0,233178.1,927516.4,192992.7,727664.1,1080524.8,973099.8,2442054.3,146165.3,782158.8,139369.1,574081.2,1253716.3,407650.6,458946.9
ST6-3 T0 7,2020-10-19 15:32:48,1005.0,NOR3 Cr0015 HNF,7316,654,6213,984,326,113,82,7.28,0.65,6.18,0.98,0.32,0.11,0.08,100.00%,66.46%,84.92%,15.84%,49.85%,17.28%,12.54%,100.00%,8.94%,84.92%,13.45%,4.46%,1.54%,1.12%,45158.4,99598.0,37440.8,76258.7,113237.4,88995.0,81886.8,445403.3,1223058.4,257318.3,995186.5,1127192.1,1437746.6,1696329.4,299277.2,1021251.2,206025.6,775969.3,1402266.9,539758.8,303095.0
ST6-3 T0 8,2020-10-19 15:39:24,1005.0,NOR3 Cr0015 HNF,10717,1158,9328,1694,749,156,101,10.66,1.15,9.28,1.69,0.75,0.16,0.10,100.00%,68.36%,87.04%,18.16%,64.68%,13.47%,8.72%,100.00%,10.81%,87.04%,15.81%,6.99%,1.46%,0.94%,49831.3,92425.5,39407.5,72689.4,96995.6,85951.0,91904.6,422246.3,1021324.7,283732.4,859387.6,917705.9,1232584.3,1906362.0,313921.4,850390.8,227909.7,665171.2,1020004.6,507018.6,354000.9
ST6-3 T0 9,2020-10-19 15:45:10,1005.0,NOR3 Cr0015 HNF,15618,2534,13936,3374,2045,221,174,15.54,2.52,13.87,3.36,2.03,0.22,0.17,100.00%,75.10%,89.23%,24.21%,80.70%,8.72%,6.87%,100.00%,16.22%,89.23%,21.60%,13.09%,1.42%,1.11%,55289.8,81533.6,42657.1,66713.4,78498.4,93461.8,91890.7,462345.8,861631.1,325991.3,748159.9,693460.3,1357235.1,1967127.3,362136.9,699594.0,273566.7,577827.5,704336.3,527866.8,364874.0
ST6-3 T0 10,2020-10-19 15:51:44,1005.0,NOR3 Cr0015 HNF,15898,1738,12956,2463,1109,260,270,15.82,1.73,12.89,2.45,1.10,0.26,0.27,100.00%,70.56%,81.49%,19.01%,63.81%,14.96%,15.54%,100.00%,10.93%,81.49%,15.49%,6.98%,1.64%,1.70%,55656.3,100979.4,43140.7,80112.8,102355.8,94738.8,98394.6,463076.5,1130393.9,305268.5,957324.1,905602.7,1353678.6,1827127.1,349598.4,903250.2,259480.6,719050.1,1014776.1,507782.8,339157.8
ST6-3 T0 11,2020-10-19 15:58:06,1005.0,NOR3 Cr0015 HNF,25084,1157,22329,1599,476,310,210,24.96,1.15,22.22,1.59,0.47,0.31,0.21,100.00%,72.36%,89.02%,7.16%,41.14%,26.79%,18.15%,100.00%,4.61%,89.02%,6.37%,1.90%,1.24%,0.84%,52672.5,113839.6,44479.2,94385.1,125733.3,102372.1,99710.3,307342.8,1313540.9,249780.4,1156006.4,1080628.0,1167616.1,2149200.5,217214.3,924199.5,179002.0,780934.1,1366131.5,460014.3,382779.4
ST6-3 T12 6-1,2020-10-19 16:04:13,1005.0,NOR3 Cr0015 HNF,5821,262,3410,510,147,53,36,5.79,0.26,3.39,0.51,0.15,0.05,0.04,100.00%,51.37%,58.58%,14.96%,56.11%,20.23%,13.74%,100.00%,4.50%,58.58%,8.76%,2.53%,0.91%,0.62%,116515.3,86104.1,40542.7,55612.2,91081.1,79132.8,84256.8,275665.6,1325764.1,207605.9,910953.9,1063111.4,1427509.3,2160072.8,139200.6,936763.1,144825.5,606875.3,1219776.0,566599.8,379778.4
ST6-3 T12 6-2,2020-10-19 16:10:13,1005.0,NOR3 Cr0015 HNF,4305,299,3167,580,181,61,33,4.28,0.30,3.15,0.58,0.18,0.06,0.03,100.00%,51.55%,73.57%,18.31%,60.54%,20.40%,11.04%,100.00%,6.95%,73.57%,13.47%,4.20%,1.42%,0.77%,55285.5,85919.8,40801.6,53583.1,83524.9,92476.2,82052.8,420031.7,1304977.1,248958.8,890742.8,1077829.4,1543853.1,2045692.0,221703.8,917177.9,180271.8,607116.3,1143844.0,613159.9,384524.2
ST6-3 T12 7-1,2020-10-19 16:16:26,1005.0,NOR3 Cr0015 HNF,12043,1778,10465,4109,177,759,777,11.98,1.77,10.41,4.09,0.18,0.76,0.77,100.00%,43.27%,86.90%,39.26%,9.96%,42.69%,43.70%,100.00%,14.76%,86.90%,34.12%,1.47%,6.30%,6.45%,62982.8,81290.3,41621.8,47490.2,104787.7,90899.5,63882.5,510682.9,1230335.6,453805.3,909098.8,1198716.4,1074945.0,1361449.8,203252.7,437312.3,163515.1,273025.9,1338905.8,388179.1,242647.6
