Experiment Name:,NOR3 CR0015 HNF St 6-4

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
1.8um,2020-08-04 17:11:16,13.5,NOR3 Cr0015 HNF,198,9,39,23,2,0,1,14.64,0.67,2.88,1.70,0.15,0.00,0.07,100.00%,39.13%,19.70%,58.97%,22.22%,0.00%,11.11%,100.00%,4.55%,19.70%,11.62%,1.01%,0.00%,0.51%,50491.1,36322.0,41035.9,27926.4,37395.4,####,82426.7,7688437.0,4736016.0,3490272.0,5838757.0,324021.7,####,1381839.6,235696.5,240435.3,171061.5,209297.7,360159.9,####,301399.2
ST2-7 T0 6,2020-10-28 10:02:32,1004.9,NOR3 Cr0015 HNF,6882,1528,4794,3491,1353,82,54,6.85,1.52,4.77,3.47,1.35,0.08,0.05,100.00%,43.77%,69.66%,72.82%,88.55%,5.37%,3.53%,100.00%,22.20%,69.66%,50.73%,19.66%,1.19%,0.78%,267747.0,68252.2,49236.7,39836.0,67560.2,82955.9,64046.7,608201.0,1274861.9,673544.0,869749.0,1184279.9,2147458.0,2223978.3,560352.9,1310737.0,701346.8,855179.9,1388229.1,923677.5,413683.7
ST2-7 T0 7,2020-10-28 10:11:23,1005.0,NOR3 Cr0015 HNF,8351,1789,5530,3432,1477,145,97,8.31,1.78,5.50,3.42,1.47,0.14,0.10,100.00%,52.13%,66.22%,62.06%,82.56%,8.11%,5.42%,100.00%,21.42%,66.22%,41.10%,17.69%,1.74%,1.16%,172538.4,105045.6,67140.1,65367.0,104511.1,87332.8,76039.1,539242.6,1311960.1,629601.3,924952.4,1164222.9,1668613.0,2367462.5,642215.6,1754919.8,861528.4,1167683.4,1808778.1,721727.1,440388.8
ST2-7 T0 8,2020-10-28 10:17:17,1005.0,NOR3 Cr0015 HNF,12725,3382,9269,6216,2913,222,114,12.66,3.37,9.22,6.19,2.90,0.22,0.11,100.00%,54.41%,72.84%,67.06%,86.13%,6.56%,3.37%,100.00%,26.58%,72.84%,48.85%,22.89%,1.74%,0.90%,167271.5,103329.5,66582.1,66239.7,98644.1,89395.7,93223.8,607935.6,1286126.5,666577.9,922724.4,1147782.1,1547711.0,2336811.5,905173.8,2134550.8,1116387.1,1463111.8,2124205.5,640385.5,443224.9
ST2-7 T0 9,2020-10-28 10:24:17,1005.0,NOR3 Cr0015 HNF,17023,3549,10927,5995,2953,261,141,16.94,3.53,10.87,5.97,2.94,0.26,0.14,100.00%,59.20%,64.19%,54.86%,83.21%,7.35%,3.97%,100.00%,20.85%,64.19%,35.22%,17.35%,1.53%,0.83%,166436.2,133091.9,83681.9,88713.9,129266.7,114573.4,85509.5,532361.9,1403705.9,631662.7,1027239.1,1236602.3,1687648.9,2450522.0,764977.3,2190268.3,1041750.9,1571107.1,2162150.3,704206.2,447874.7
ST2-7 T0 10,2020-10-28 10:31:01,1005.0,NOR3 Cr0015 HNF,19434,5746,13502,8870,5002,281,208,19.34,5.72,13.43,8.83,4.98,0.28,0.21,100.00%,64.78%,69.48%,65.69%,87.05%,4.89%,3.62%,100.00%,29.57%,69.48%,45.64%,25.74%,1.45%,1.07%,127597.1,116897.6,84737.6,86010.4,111459.8,95587.9,71770.1,641343.9,1279430.1,721288.3,1014634.0,1110988.1,1500107.8,2486507.5,1054816.4,2247192.8,1293370.3,1744101.1,2098909.8,617012.6,449874.5
ST2-7 T0 11,2020-10-28 10:38:27,1004.9,NOR3 Cr0015 HNF,21327,4224,13417,6076,3402,374,172,21.22,4.20,13.35,6.05,3.39,0.37,0.17,100.00%,69.52%,62.91%,45.29%,80.54%,8.85%,4.07%,100.00%,19.81%,62.91%,28.49%,15.95%,1.75%,0.81%,153329.5,150958.9,95432.4,116582.4,144537.6,104771.1,75929.4,511958.7,1402135.9,612539.4,1134944.3,1226978.8,1485802.4,2065563.3,829999.1,2321425.0,1116930.6,1846419.8,2133309.0,606239.3,378247.3
ST2-7 T12 6-1,2020-10-28 10:44:10,1005.0,NOR3 Cr0015 HNF,5285,1045,3497,2043,852,70,66,5.26,1.04,3.48,2.03,0.85,0.07,0.07,100.00%,51.15%,66.17%,58.42%,81.53%,6.70%,6.32%,100.00%,19.77%,66.17%,38.66%,16.12%,1.32%,1.25%,216396.5,89385.9,54034.9,55771.8,90650.6,78488.3,65266.3,505527.7,1087283.3,509044.8,776368.8,1024249.5,1422586.5,1348000.4,464876.5,1289258.8,584787.5,818810.3,1368124.9,574175.1,249811.9
ST2-7 T12 6-2,2020-10-28 10:50:17,1005.0,NOR3 Cr0015 HNF,7227,2016,5665,3784,1777,120,78,7.19,2.01,5.64,3.77,1.77,0.12,0.08,100.00%,53.28%,78.39%,66.80%,88.14%,5.95%,3.87%,100.00%,27.90%,78.39%,52.36%,24.59%,1.66%,1.08%,164158.7,78605.9,52535.2,50647.3,77883.0,83020.9,63578.9,692086.5,1307698.1,682470.8,948651.4,1275352.4,1432693.0,1634566.5,680684.7,1492701.6,754074.3,1016093.8,1581829.6,503407.4,322496.9
ST2-7 T12 7-1,2020-10-28 10:55:56,1005.0,NOR3 Cr0015 HNF,15254,3731,10101,7353,3020,329,220,15.18,3.71,10.05,7.32,3.00,0.33,0.22,100.00%,50.74%,66.22%,72.79%,80.94%,8.82%,5.90%,100.00%,24.46%,66.22%,48.20%,19.80%,2.16%,1.44%,115112.6,91839.5,59268.3,57182.5,84183.9,90105.5,76578.3,470459.8,1094565.8,620374.1,804677.8,1025072.9,1096156.6,1271527.8,654042.0,1758159.3,928712.8,1170016.1,1726787.4,423805.0,236068.5
ST2-7 T12 7-2,2020-10-28 11:03:00,1005.0,NOR3 Cr0015 HNF,16942,4092,10394,7204,3372,341,198,16.86,4.07,10.34,7.17,3.36,0.34,0.20,100.00%,56.80%,61.35%,69.31%,82.40%,8.33%,4.84%,100.00%,24.15%,61.35%,42.52%,19.90%,2.01%,1.17%,133099.2,99292.2,68189.5,67419.2,89842.7,86203.5,85691.3,450722.8,1110155.9,638147.4,862868.6,1034894.3,1062075.5,1322469.0,685050.5,1885898.9,1033208.3,1352569.3,1766324.5,377373.9,255948.0
ST2-7 T12 8-1,2020-10-28 11:19:49,1005.0,NOR3 Cr0015 HNF,18023,3509,10584,6546,2136,668,501,17.93,3.49,10.53,6.51,2.13,0.66,0.50,100.00%,53.61%,58.72%,61.85%,60.87%,19.04%,14.28%,100.00%,19.47%,58.72%,36.32%,11.85%,3.71%,2.78%,157331.7,104709.0,65711.5,66714.2,101101.7,98074.5,76164.3,374275.9,1082078.6,547462.3,803631.4,937188.5,1193833.5,1226830.5,458805.9,1519526.9,714389.2,1005738.2,1751375.6,428146.3,227544.6
ST2-7 T12 8-2,2020-10-28 11:25:31,1005.0,NOR3 Cr0015 HNF,24861,4677,14794,7863,2963,910,424,24.74,4.65,14.72,7.82,2.95,0.91,0.42,100.00%,59.48%,59.51%,53.15%,63.35%,19.46%,9.07%,100.00%,18.81%,59.51%,31.63%,11.92%,3.66%,1.71%,136924.5,130179.0,85269.5,93420.3,121944.6,97321.6,85068.2,388598.8,1171856.5,551526.0,900181.3,1047026.0,1120105.0,1106329.5,690329.1,2225057.3,1034298.9,1591699.6,2200323.3,389184.0,208401.4
ST2-7 T12 9-1,2020-10-28 11:31:09,1005.0,NOR3 Cr0015 HNF,26561,5004,14669,8931,3142,729,816,26.43,4.98,14.60,8.89,3.13,0.73,0.81,100.00%,56.03%,55.23%,60.88%,62.79%,14.57%,16.31%,100.00%,18.84%,55.23%,33.62%,11.83%,2.74%,3.07%,115052.9,113188.8,72577.4,76008.4,109233.8,92857.5,81375.1,296871.0,941023.7,484804.6,713882.0,855305.1,927779.1,974308.1,456074.6,1618624.1,779975.7,1106953.4,1711493.5,333789.9,176424.7
ST2-7 T12 9-2,2020-10-28 11:36:52,1005.0,NOR3 Cr0015 HNF,38278,6650,18892,10727,3624,1548,1095,38.09,6.62,18.80,10.67,3.61,1.54,1.09,100.00%,61.99%,49.35%,56.78%,54.50%,23.28%,16.47%,100.00%,17.37%,49.35%,28.02%,9.47%,4.04%,2.86%,76619.0,111368.1,70916.8,78768.5,121021.4,90783.1,72309.0,287242.0,1046247.9,515746.2,827825.7,1037765.4,950895.1,953344.9,359471.9,1446946.9,670956.9,1035790.6,1959099.8,331514.2,181148.6
ST2-7 T12 10-1,2020-10-28 11:42:32,1005.0,NOR3 Cr0015 HNF,47501,8149,22328,13690,4996,1436,1186,47.27,8.11,22.22,13.62,4.97,1.43,1.18,100.00%,59.53%,47.01%,61.31%,61.31%,17.62%,14.55%,100.00%,17.16%,47.01%,28.82%,10.52%,3.02%,2.50%,80270.6,108748.8,69657.6,76080.7,106387.5,84060.2,72277.6,275938.0,1005516.4,532270.3,798318.2,892583.4,985403.3,1122829.9,413150.2,1679001.8,818760.8,1193731.3,1795254.4,356853.2,203728.6
ST2-7 T12 10-2,2020-10-28 11:48:01,1005.0,NOR3 Cr0015 HNF,69140,12263,33230,20783,7483,2548,1436,68.80,12.20,33.07,20.68,7.45,2.54,1.43,100.00%,59.00%,48.06%,62.54%,61.02%,20.78%,11.71%,100.00%,17.74%,48.06%,30.06%,10.82%,3.69%,2.08%,74666.9,111344.2,71820.3,78065.5,106272.6,95106.3,81341.7,301164.7,1026681.5,542095.8,804112.1,938318.9,1031887.8,914712.1,412433.8,1561997.0,777380.8,1134748.6,1711158.6,373271.9,175969.7
ST2-7 T12 11-1,2020-10-28 11:53:31,1005.0,NOR3 Cr0015 HNF,27327,5839,15148,9370,4105,976,519,27.19,5.81,15.07,9.32,4.08,0.97,0.52,100.00%,62.32%,55.43%,61.86%,70.30%,16.72%,8.89%,100.00%,21.37%,55.43%,34.29%,15.02%,3.57%,1.90%,126888.0,107384.5,72353.0,76712.6,108161.3,92994.1,79381.9,336232.1,1022127.8,550704.7,809380.5,1005488.5,921338.9,954860.0,489885.9,1546289.0,832842.8,1173629.0,1856725.6,344203.8,184811.7
ST2-7 T12 11-2,2020-10-28 11:59:00,1005.0,NOR3 Cr0015 HNF,35869,6690,19191,12668,5140,831,431,35.69,6.66,19.10,12.60,5.11,0.83,0.43,100.00%,52.81%,53.50%,66.01%,76.83%,12.42%,6.44%,100.00%,18.65%,53.50%,35.32%,14.33%,2.32%,1.20%,89809.9,98031.6,61344.2,62375.1,94460.3,86826.8,74862.0,288055.7,925770.4,499652.7,694976.4,850946.3,1097683.1,983804.5,423990.4,1454428.9,754825.8,1017056.6,1542619.9,403136.7,184114.9
