Experiment Name:,NOR3 CR0015 HNF St 2-1'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
1.8um,2020-08-04 17:11:16,13.5,NOR3 Cr0015 HNF,198,9,39,23,2,0,1,14.64,0.67,2.88,1.70,0.15,0.00,0.07,100.00%,39.13%,19.70%,58.97%,22.22%,0.00%,11.11%,100.00%,4.55%,19.70%,11.62%,1.01%,0.00%,0.51%,50491.1,36322.0,41035.9,27926.4,37395.4,####,82426.7,7688437.0,4736016.0,3490272.0,5838757.0,324021.7,####,1381839.6,235696.5,240435.3,171061.5,209297.7,360159.9,####,301399.2
ST2-1 T0 6,2020-08-05 15:45:06,1005.0,NOR3 Cr0015 HNF,7015,1720,6732,4271,1435,171,66,6.98,1.71,6.70,4.25,1.43,0.17,0.07,100.00%,40.27%,95.97%,63.44%,83.43%,9.94%,3.84%,100.00%,24.52%,95.97%,60.88%,20.46%,2.44%,0.94%,105515.3,80101.1,53744.4,44704.0,78618.6,66227.6,82164.9,533034.3,878325.6,428808.9,600064.5,772327.2,1088203.3,2043624.5,528773.6,933726.3,490805.8,607780.6,950166.8,448356.2,378685.1
ST2-1 T0 7,2020-08-05 15:58:36,1005.0,NOR3 Cr0015 HNF,7195,1664,6468,2450,1271,171,158,7.16,1.66,6.44,2.44,1.26,0.17,0.16,100.00%,67.92%,89.90%,37.88%,76.38%,10.28%,9.50%,100.00%,23.13%,89.90%,34.05%,17.67%,2.38%,2.20%,192918.6,105509.4,73380.1,82200.3,107314.6,85159.9,83209.7,584108.7,1007120.7,388809.6,821968.9,823151.9,1206980.1,2123954.0,619693.3,1289580.4,595612.6,1026276.2,1422503.8,493155.2,351604.2
ST2-1 T0 8,2020-08-05 16:04:47,1005.0,NOR3 Cr0015 HNF,10186,2623,9555,4439,2203,232,124,10.14,2.61,9.51,4.42,2.19,0.23,0.12,100.00%,59.09%,93.81%,46.46%,83.99%,8.84%,4.73%,100.00%,25.75%,93.81%,43.58%,21.63%,2.28%,1.22%,152210.4,98566.4,85099.3,73624.9,96436.7,94538.8,90211.0,530285.1,1044917.6,452360.2,806489.3,935725.4,1181500.3,2401261.5,679137.2,1263206.9,637345.8,936970.9,1324970.0,478097.1,437742.0
ST2-1 T0 9,2020-08-05 16:13:58,1004.9,NOR3 Cr0015 HNF,10188,1945,9143,2729,1496,235,147,10.14,1.94,9.10,2.72,1.49,0.23,0.15,100.00%,71.27%,89.74%,29.85%,76.92%,12.08%,7.56%,100.00%,19.09%,89.74%,26.79%,14.68%,2.31%,1.44%,194309.4,122396.7,91278.0,107241.8,124188.9,99735.3,90816.0,433676.3,992663.6,352259.3,858558.1,865662.4,1069254.5,1848521.0,596579.5,1428921.1,588118.1,1201308.9,1566114.4,419516.2,316363.0
ST2-1 T0 10,2020-08-05 16:21:37,1005.0,NOR3 Cr0015 HNF,13644,3019,13082,4311,2396,310,215,13.58,3.00,13.02,4.29,2.38,0.31,0.21,100.00%,70.03%,95.88%,32.95%,79.36%,10.27%,7.12%,100.00%,22.13%,95.88%,31.60%,17.56%,2.27%,1.58%,125850.1,119512.4,78074.6,102832.7,118425.0,104855.4,93403.4,548591.5,1165227.3,431222.3,985308.4,1031817.6,1234378.9,2180463.3,645280.8,1386123.1,568940.3,1159689.9,1463979.1,499812.5,382416.7
ST2-1 T0 11,2020-08-05 16:29:32,1005.0,NOR3 Cr0015 HNF,19120,3824,18644,5117,3171,386,167,19.03,3.81,18.55,5.09,3.16,0.38,0.17,100.00%,74.73%,97.51%,27.45%,82.92%,10.09%,4.37%,100.00%,20.00%,97.51%,26.76%,16.58%,2.02%,0.87%,87187.5,118594.3,63457.8,101054.8,118010.3,98139.3,85980.9,480987.7,1091015.5,405204.9,949912.4,952093.1,1269373.0,2581220.8,628284.4,1463425.1,577521.9,1254338.5,1492754.0,501479.5,473562.1
ST2-1 T12 6-1,2020-08-04 15:37:03,1005.0,NOR3 Cr0015 HNF,14672,4558,11730,6331,4298,90,128,14.60,4.54,11.67,6.30,4.28,0.09,0.13,100.00%,71.99%,79.95%,53.97%,94.30%,1.97%,2.81%,100.00%,31.07%,79.95%,43.15%,29.29%,0.61%,0.87%,111720.3,83630.3,55667.7,68147.9,82245.5,89059.8,73713.9,391481.0,776209.4,428187.0,645744.0,750366.9,1088612.0,1167869.5,367669.6,717604.8,410048.2,606511.3,704201.6,424531.1,197973.9
ST2-1 T12 6-2,2020-08-04 15:13:20,1005.0,NOR3 Cr0015 HNF,10562,1957,5731,2804,1668,133,116,10.51,1.95,5.70,2.79,1.66,0.13,0.12,100.00%,69.79%,54.26%,48.93%,85.23%,6.80%,5.93%,100.00%,18.53%,54.26%,26.55%,15.79%,1.26%,1.10%,130275.6,98651.8,64009.7,79465.5,96240.7,104825.7,77098.6,305525.0,862842.9,427775.8,712583.8,751868.3,1290820.0,1445550.4,315652.0,999039.8,498896.4,814854.9,986102.1,534495.4,251999.1
ST2-1 T12 7-1,2020-08-04 15:47:58,1004.9,NOR3 Cr0015 HNF,15029,6637,14850,12536,5941,326,215,14.96,6.60,14.78,12.47,5.91,0.32,0.21,100.00%,52.94%,98.81%,84.42%,89.51%,4.91%,3.24%,100.00%,44.16%,98.81%,83.41%,39.53%,2.17%,1.43%,61717.7,77196.0,50814.3,51976.1,72787.1,90295.0,67689.9,658366.9,907709.4,585460.0,659394.8,861458.7,901474.0,1539092.3,722416.6,1030887.6,647575.1,725696.3,993622.6,345017.1,269816.1
ST2-1 T12 7-2,2020-08-04 15:55:08,1005.0,NOR3 Cr0015 HNF,10395,3726,10188,7758,2999,323,254,10.34,3.71,10.14,7.72,2.98,0.32,0.25,100.00%,48.03%,98.01%,76.15%,80.49%,8.67%,6.82%,100.00%,35.84%,98.01%,74.63%,28.85%,3.11%,2.44%,85018.8,95174.8,61676.2,62666.1,86678.8,91771.0,71177.8,731107.9,989460.3,573029.3,699026.4,870306.8,867456.5,1633980.0,922730.9,1255535.9,700469.5,843622.8,1163006.9,336117.3,285136.9
ST2-1 T12 8-1,2020-08-04 16:01:48,1005.0,NOR3 Cr0015 HNF,13508,3082,13402,4796,1594,657,315,13.44,3.07,13.34,4.77,1.59,0.65,0.31,100.00%,64.26%,99.22%,35.79%,51.72%,21.32%,10.22%,100.00%,22.82%,99.22%,35.50%,11.80%,4.86%,2.33%,55325.3,95549.8,50736.0,70908.7,101021.1,81107.5,67478.3,458359.2,900614.3,420883.2,726272.4,802549.3,770750.0,1326565.1,382152.9,877754.8,362322.6,667161.5,1131023.3,320428.1,216533.5
ST2-1 T12 8-2,2020-08-04 16:08:28,1005.0,NOR3 Cr0015 HNF,11303,4317,11150,8235,2994,607,318,11.25,4.30,11.09,8.19,2.98,0.60,0.32,100.00%,52.42%,98.65%,73.86%,69.35%,14.06%,7.37%,100.00%,38.19%,98.65%,72.86%,26.49%,5.37%,2.81%,65167.2,84626.5,55882.4,54876.8,82994.1,95598.4,75081.6,635019.1,939882.1,565677.3,701355.9,869676.6,1002338.4,1460400.6,568729.8,874359.9,512952.7,609103.1,1005828.7,423252.4,253219.8
ST2-1 T12 9-1,2020-08-04 16:19:20,1004.8,NOR3 Cr0015 HNF,10972,3805,10839,7962,2165,809,451,10.92,3.79,10.79,7.92,2.15,0.81,0.45,100.00%,47.79%,98.79%,73.46%,56.90%,21.26%,11.85%,100.00%,34.68%,98.79%,72.57%,19.73%,7.37%,4.11%,62523.5,86742.8,53171.9,52928.2,91415.0,78891.3,79488.4,599424.0,946586.1,551210.9,675932.2,868098.5,831119.6,1575852.8,478482.3,807957.4,442103.9,523448.3,1044509.9,336795.1,274303.1
