Experiment Name:,NOR3 CR0015 HNF St 2-1'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
ST2-1 T12 9-2,2020-08-04 16:26:30,1005.0,NOR3 Cr0015 HNF,9422,3524,9261,6991,1808,909,540,9.38,3.51,9.21,6.96,1.80,0.90,0.54,100.00%,50.41%,98.29%,75.49%,51.31%,25.79%,15.32%,100.00%,37.40%,98.29%,74.20%,19.19%,9.65%,5.73%,76366.1,99408.8,64329.4,63366.6,102447.1,95379.2,81048.1,787810.8,1093858.5,650736.3,787127.4,998591.4,973235.3,1555479.0,575997.3,890687.1,502086.3,587632.1,1200638.8,382303.9,272045.6
ST2-1 T12 10-1,2020-08-04 16:33:49,1005.0,NOR3 Cr0015 HNF,13914,5918,13702,8813,3730,1129,318,13.85,5.89,13.63,8.77,3.71,1.12,0.32,100.00%,67.15%,98.48%,64.32%,63.03%,19.08%,5.37%,100.00%,42.53%,98.48%,63.34%,26.81%,8.11%,2.29%,80866.5,99902.1,69231.9,77778.8,105235.7,89291.7,78056.6,713488.3,1051626.0,644738.6,866854.4,1049349.0,943996.6,1457634.5,612921.1,928292.1,544004.4,727485.6,1109089.1,422697.2,246439.7
ST2-1 T12 10-2,2020-08-04 16:39:53,1005.0,NOR3 Cr0015 HNF,12849,5563,12641,9634,2986,1387,342,12.79,5.54,12.58,9.59,2.97,1.38,0.34,100.00%,57.74%,98.38%,76.21%,53.68%,24.93%,6.15%,100.00%,43.30%,98.38%,74.98%,23.24%,10.79%,2.66%,80466.7,96133.8,67308.5,68497.5,110214.8,74074.4,70311.2,775914.8,1040366.8,671187.8,807190.0,1064073.4,893240.1,1430407.0,682415.9,981542.3,598369.1,708968.3,1265144.1,394884.2,243870.5
ST2-1 T12 11-1,2020-08-04 16:45:47,1005.0,NOR3 Cr0015 HNF,11570,3710,11357,6340,2768,437,325,11.51,3.69,11.30,6.31,2.75,0.43,0.32,100.00%,58.52%,98.16%,55.82%,74.61%,11.78%,8.76%,100.00%,32.07%,98.16%,54.80%,23.92%,3.78%,2.81%,84814.1,118050.5,71388.8,84039.7,116483.7,100581.5,73656.3,585002.8,1045221.8,510393.8,783484.4,966036.3,862353.4,1449872.3,679500.4,1245945.8,593187.9,888958.6,1318562.8,344386.3,247457.1
ST2-1 T12 11-2,2020-08-04 16:52:25,1005.0,NOR3 Cr0015 HNF,15737,4664,15489,8782,3400,570,356,15.66,4.64,15.41,8.74,3.38,0.57,0.35,100.00%,53.11%,98.42%,56.70%,72.90%,12.22%,7.63%,100.00%,29.64%,98.42%,55.80%,21.61%,3.62%,2.26%,68977.8,97473.7,57106.1,64538.4,98510.3,78308.3,71459.3,492536.8,868711.9,441314.9,645767.7,812814.1,746694.4,1238386.1,516022.8,932232.7,450525.9,638309.4,1009524.9,302096.8,208973.3
ST2-1 T24 6-1,2020-08-07 14:37:30,1005.0,NOR3 Cr0015 HNF,3051,816,2901,1460,717,42,30,3.04,0.81,2.89,1.45,0.71,0.04,0.03,100.00%,55.89%,95.08%,50.33%,87.87%,5.15%,3.68%,100.00%,26.75%,95.08%,47.85%,23.50%,1.38%,0.98%,73402.7,73880.3,48225.1,50101.3,74160.2,81243.7,62134.6,507933.1,778088.1,354312.1,583251.3,733096.3,1245368.1,1205932.4,418190.5,799182.1,381811.3,578827.6,853653.7,518652.4,192762.8
ST2-1 T24 6-2,2020-08-07 14:44:11,1004.9,NOR3 Cr0015 HNF,4371,831,4154,1612,700,65,45,4.35,0.83,4.13,1.60,0.70,0.06,0.04,100.00%,51.55%,95.04%,38.81%,84.24%,7.82%,5.42%,100.00%,19.01%,95.04%,36.88%,16.01%,1.49%,1.03%,69729.4,76002.8,48514.0,49238.6,75558.5,72622.1,75395.3,346676.4,807371.1,298858.7,610105.2,757649.1,836439.1,1425001.0,347012.9,821080.5,327238.3,590868.4,885272.4,370386.3,224812.9
ST2-1 T24 7-1,2020-08-07 14:49:53,1005.0,NOR3 Cr0015 HNF,10425,2622,10233,7377,2226,162,168,10.37,2.61,10.18,7.34,2.21,0.16,0.17,100.00%,35.54%,98.16%,72.09%,84.90%,6.18%,6.41%,100.00%,25.15%,98.16%,70.76%,21.35%,1.55%,1.61%,56629.6,62727.8,41873.4,35018.6,60949.0,73948.6,70940.1,484180.2,791836.9,441780.1,562066.6,783572.1,838527.6,862825.2,422701.8,709619.3,394790.9,477302.6,778071.0,330475.4,144982.7
ST2-1 T24 7-2,2020-08-07 14:57:02,1005.0,NOR3 Cr0015 HNF,5469,1118,5208,2086,866,124,95,5.44,1.11,5.18,2.08,0.86,0.12,0.09,100.00%,53.60%,95.23%,40.05%,77.46%,11.09%,8.50%,100.00%,20.44%,95.23%,38.14%,15.83%,2.27%,1.74%,92336.1,80440.2,52553.7,53208.5,80035.3,81152.8,72018.7,361236.7,855610.9,330448.6,658267.6,804977.7,1008637.3,969639.7,433979.3,1034506.6,432941.8,743875.8,1158686.1,378950.8,173550.2
ST2-1 T24 8-1,2020-08-07 15:02:52,1004.9,NOR3 Cr0015 HNF,9363,2992,9076,6021,2431,229,216,9.32,2.98,9.03,5.99,2.42,0.23,0.21,100.00%,49.69%,96.93%,66.34%,81.25%,7.65%,7.22%,100.00%,31.96%,96.93%,64.31%,25.96%,2.45%,2.31%,88235.2,72504.4,57405.9,46608.8,69848.1,99834.5,67234.2,588032.0,1001146.5,556814.9,753176.1,989603.9,1060615.3,1004985.1,543555.1,922529.9,516217.5,650098.4,1030571.4,398280.3,174915.2
ST2-1 T24 8-2,2020-08-07 15:09:06,1005.0,NOR3 Cr0015 HNF,10065,3192,9863,6666,2694,181,215,10.01,3.18,9.81,6.63,2.68,0.18,0.21,100.00%,47.88%,97.99%,67.59%,84.40%,5.67%,6.74%,100.00%,31.71%,97.99%,66.23%,26.77%,1.80%,2.14%,62093.6,67817.0,47909.2,42801.0,64857.8,95428.2,71046.3,573499.1,950727.4,545736.1,743964.9,958103.0,818292.3,913246.2,542805.5,885012.6,524346.3,659139.8,958393.9,314641.8,156139.5
ST2-1 T24 9-1,2020-08-07 15:14:51,1004.9,NOR3 Cr0015 HNF,8258,2447,7996,4786,1851,249,237,8.22,2.44,7.96,4.76,1.84,0.25,0.24,100.00%,51.13%,96.83%,59.85%,75.64%,10.18%,9.69%,100.00%,29.63%,96.83%,57.96%,22.41%,3.02%,2.87%,81215.0,82286.0,55510.1,53580.8,81538.4,101277.2,63479.5,614538.8,1115071.9,545656.2,802952.9,1170825.8,942281.1,901985.6,606705.9,1093111.1,551655.7,745557.7,1279239.5,363791.8,154762.7
ST2-1 T24 9-2,2020-08-07 15:32:15,1005.0,NOR3 Cr0015 HNF,9961,2835,9700,6971,1727,454,361,9.91,2.82,9.65,6.94,1.72,0.45,0.36,100.00%,40.67%,97.38%,71.87%,60.92%,16.01%,12.73%,100.00%,28.46%,97.38%,69.98%,17.34%,4.56%,3.62%,79175.3,73457.1,50484.7,41484.3,71789.5,90598.5,69400.3,553371.9,923270.5,530113.6,670442.3,880497.9,985217.4,1048289.8,458531.6,750693.5,432217.7,503283.7,955033.3,390451.8,180801.8
ST2-1 T24 10-1,2020-08-07 15:44:35,1005.0,NOR3 Cr0015 HNF,5688,1691,5491,2632,763,299,539,5.66,1.68,5.46,2.62,0.76,0.30,0.54,100.00%,64.25%,96.54%,47.93%,45.12%,17.68%,31.87%,100.00%,29.73%,96.54%,46.27%,13.41%,5.26%,9.48%,91709.6,90196.2,61403.9,66515.0,89018.2,122047.8,67884.2,536057.5,914044.9,440510.6,753756.8,746359.7,1096588.1,983003.1,482084.7,815576.2,417534.4,610421.5,1346396.8,394594.7,165517.3
ST2-1 T24 10-2,2020-08-07 15:37:49,1005.0,NOR3 Cr0015 HNF,8357,3191,8111,5611,2155,438,403,8.32,3.18,8.07,5.58,2.14,0.44,0.40,100.00%,56.87%,97.06%,69.18%,67.53%,13.73%,12.63%,100.00%,38.18%,97.06%,67.14%,25.79%,5.24%,4.82%,79294.1,79152.1,55078.0,53158.1,76139.8,106219.6,65156.3,695114.6,1154141.8,672498.5,902191.8,1186797.6,1110469.0,946909.3,574725.0,951369.3,569245.8,711832.7,1202236.9,429193.3,165359.2
ST2-1 T24 11-1,2020-08-07 15:55:04,1005.0,NOR3 Cr0015 HNF,6984,2000,6783,3622,913,495,392,6.95,1.99,6.75,3.60,0.91,0.49,0.39,100.00%,55.22%,97.12%,53.40%,45.65%,24.75%,19.60%,100.00%,28.64%,97.12%,51.86%,13.07%,7.09%,5.61%,77548.5,78543.6,50550.3,52190.2,82502.4,70077.5,71762.6,455836.5,892976.8,419630.4,684379.6,782435.4,887478.0,913444.9,387471.3,737602.3,350239.6,519865.8,1056660.9,374629.6,156511.0
ST2-1 T24 11-2,2020-08-07 16:01:09,1005.0,NOR3 Cr0015 HNF,7398,2143,7114,3992,1192,313,529,7.36,2.13,7.08,3.97,1.19,0.31,0.53,100.00%,53.68%,96.16%,56.11%,55.62%,14.61%,24.69%,100.00%,28.97%,96.16%,53.96%,16.11%,4.23%,7.15%,89590.5,77397.6,54922.3,51479.8,79593.0,77728.9,69891.8,483713.8,833183.3,429096.7,662256.7,777978.3,887206.7,865196.1,439749.0,801761.4,418254.2,580129.8,1130543.3,305308.3,148197.3
