Experiment Name:,NOR3 CR0015 HNF St 2-3'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
ST2-3 T12 7-2,2020-10-21 14:51:09,1007.5,NOR3_Cr0015 HNF,14873,2471,11806,4749,1783,271,242,14.76,2.45,11.72,4.71,1.77,0.27,0.24,100.00%,52.03%,79.38%,40.23%,72.16%,10.97%,9.79%,100.00%,16.61%,79.38%,31.93%,11.99%,1.82%,1.63%,109748.4,107530.6,52641.0,67457.8,97941.7,96506.5,74901.4,485144.5,1386585.6,501611.8,988491.4,1263191.9,1341469.9,1458800.4,524959.7,1797136.8,571558.7,1137532.8,1716695.8,517290.9,260720.2
ST2-3 T12 8-1,2020-10-21 15:04:52,1005.0,NOR3_Cr0015 HNF,22689,4413,16931,8202,2569,815,748,22.58,4.39,16.85,8.16,2.56,0.81,0.74,100.00%,53.80%,74.62%,48.44%,58.21%,18.47%,16.95%,100.00%,19.45%,74.62%,36.15%,11.32%,3.59%,3.30%,78193.2,96789.0,52509.5,62733.6,97358.4,92033.7,77151.5,527192.1,1293784.5,546768.5,935043.9,1224616.3,1263536.6,1412732.5,431425.0,1169653.6,459722.0,754417.4,1451950.4,484230.7,252719.3
ST2-3 T12 8-2,2020-10-21 15:10:52,1005.0,NOR3_Cr0015 HNF,59027,6685,23432,13648,4500,1005,862,58.73,6.65,23.32,13.58,4.48,1.00,0.86,100.00%,48.98%,39.70%,58.25%,67.31%,15.03%,12.89%,100.00%,11.33%,39.70%,23.12%,7.62%,1.70%,1.46%,59471.4,72312.0,47184.0,45867.8,66257.4,76962.1,57627.4,231069.9,1068005.6,514506.3,808061.8,990416.3,1102025.5,1153439.1,219795.1,1098353.9,501907.1,785023.6,1208367.4,421776.0,205302.1
ST2-3 T12 9-1,2020-10-21 15:17:28,1005.0,NOR3_Cr0015 HNF,54535,5150,21306,10908,3199,715,988,54.26,5.12,21.20,10.85,3.18,0.71,0.98,100.00%,47.21%,39.07%,51.20%,62.12%,13.88%,19.18%,100.00%,9.44%,39.07%,20.00%,5.87%,1.31%,1.81%,53164.9,78313.0,44898.7,47486.3,75750.9,78604.9,55864.9,207643.6,1093236.3,458796.0,787684.6,993663.6,1015374.0,1239095.6,188991.8,1105196.3,424985.9,722980.7,1296846.3,376196.7,217674.2
ST2-3 T12 9-2,2020-10-21 15:23:28,1005.0,NOR3_Cr0015 HNF,54746,5979,22904,10844,3239,1308,944,54.47,5.95,22.79,10.79,3.22,1.30,0.94,100.00%,55.14%,41.84%,47.35%,54.17%,21.88%,15.79%,100.00%,10.92%,41.84%,19.81%,5.92%,2.39%,1.72%,47179.7,79508.2,47974.8,53065.3,84308.1,70221.1,60494.6,239150.2,1157347.0,487891.8,890532.1,1102292.0,1083437.3,1330804.9,177343.3,921671.3,356824.7,633883.2,1189805.5,434842.8,238343.5
ST2-3 T12 10-1,2020-10-21 15:29:59,1005.0,NOR3_Cr0015 HNF,35452,7723,24987,14392,4327,1526,1479,35.28,7.68,24.86,14.32,4.31,1.52,1.47,100.00%,53.66%,70.48%,57.60%,56.03%,19.76%,19.15%,100.00%,21.78%,70.48%,40.60%,12.21%,4.30%,4.17%,75275.0,90660.8,53630.0,58099.5,90338.0,88861.7,62097.6,583303.9,1345646.6,641491.8,994392.0,1167530.1,1264679.1,1670152.0,510985.2,1274132.9,583099.9,871636.6,1538507.3,462576.1,308157.4
ST2-3 T12 10-2,2020-10-21 15:36:06,1005.0,NOR3_Cr0015 HNF,34491,8027,25739,14605,4177,1890,1446,34.32,7.99,25.61,14.53,4.16,1.88,1.44,100.00%,54.96%,74.63%,56.74%,52.04%,23.55%,18.01%,100.00%,23.27%,74.63%,42.34%,12.11%,5.48%,4.19%,84406.7,101473.3,58789.1,65992.3,104178.7,93988.5,70255.0,714231.9,1482747.6,697280.0,1091542.0,1318931.6,1376978.1,1796644.9,561926.6,1262798.8,560629.9,831121.1,1589623.0,525536.7,333075.4
ST2-3 T12 11-1,2020-10-21 15:42:14,1005.0,NOR3_Cr0015 HNF,48449,5235,17615,8833,3586,888,462,48.21,5.21,17.53,8.79,3.57,0.88,0.46,100.00%,59.27%,36.36%,50.14%,68.50%,16.96%,8.83%,100.00%,10.81%,36.36%,18.23%,7.40%,1.83%,0.95%,62402.1,97000.4,60775.9,67251.6,96976.7,80575.6,68535.4,216468.7,1151638.5,498239.4,886021.7,1118192.4,970672.4,1160457.1,266651.8,1599892.5,647148.3,1142500.0,1855937.5,383686.4,219600.7
ST2-3 T12 11-2,2020-10-21 15:48:26,1005.0,NOR3_Cr0015 HNF,48890,3988,20461,6569,2254,838,654,48.65,3.97,20.36,6.54,2.24,0.83,0.65,100.00%,60.71%,41.85%,32.10%,56.52%,21.01%,16.40%,100.00%,8.16%,41.85%,13.44%,4.61%,1.71%,1.34%,67177.0,112399.1,55237.3,78593.3,117547.3,90295.7,72505.4,197522.3,1195573.3,388745.0,922679.1,1200588.0,988940.5,1045077.6,221694.7,1533043.4,456168.9,1072081.1,1924385.0,372097.5,196850.8
ST2-3 T24 6-1,2020-10-21 15:56:27,1004.9,NOR3_Cr0015 HNF,25545,3986,20387,9657,3433,356,82,25.42,3.97,20.29,9.61,3.42,0.35,0.08,100.00%,41.28%,79.81%,47.37%,86.13%,8.93%,2.06%,100.00%,15.60%,79.81%,37.80%,13.44%,1.39%,0.32%,75945.9,70328.3,34834.7,39645.6,69297.4,67494.1,65177.4,434795.1,1186164.4,489442.4,766050.4,1140710.5,1411048.6,1478103.4,382115.3,1126855.8,439370.2,676788.6,1154879.8,537814.2,288701.1
ST2-3 T24 6-2,2020-10-21 16:11:50,1005.0,NOR3_Cr0015 HNF,11943,2359,7848,5073,1974,199,78,11.88,2.35,7.81,5.05,1.96,0.20,0.08,100.00%,46.50%,65.71%,64.64%,83.68%,8.44%,3.31%,100.00%,19.75%,65.71%,42.48%,16.53%,1.67%,0.65%,159056.3,73394.9,45840.5,43656.7,73381.5,67274.2,59915.1,667713.6,1583167.4,789878.9,1115057.6,1630291.5,1333451.5,1440840.3,528255.6,1374155.4,666252.4,908819.8,1481299.8,537396.9,271968.5
ST2-3 T24 7_2,2020-10-21 16:15:42,1005.0,NOR3_Cr0015 HNF,37897,4919,17364,9361,2993,1133,382,37.71,4.89,17.28,9.31,2.98,1.13,0.38,100.00%,52.55%,45.82%,53.91%,60.85%,23.03%,7.77%,100.00%,12.98%,45.82%,24.70%,7.90%,2.99%,1.01%,76488.1,74732.0,45355.4,48721.2,75444.1,63366.7,65764.5,254506.9,1095116.3,505527.7,839853.6,1140846.9,955032.3,997152.7,227712.2,1092579.3,455723.5,744266.1,1323256.4,388046.1,185142.9
ST2-3 T24 7-1,2020-10-21 16:13:44,1005.0,NOR3_Cr0015 HNF,9519,2625,7616,5519,1624,613,168,9.47,2.61,7.58,5.49,1.62,0.61,0.17,100.00%,47.56%,80.01%,72.47%,61.87%,23.35%,6.40%,100.00%,27.58%,80.01%,57.98%,17.06%,6.44%,1.76%,132078.0,82417.1,52636.0,49523.9,82193.0,70273.2,59025.1,812359.8,1620334.8,890796.8,1168959.9,1638547.0,1446571.0,1546233.0,763983.0,1659757.8,834609.9,1056102.3,1900202.5,597701.3,293662.6
ST2-3 T24 8_1,2020-10-21 16:24:56,1005.0,NOR3_Cr0015 HNF,101897,9679,33616,17340,4076,3018,1759,101.39,9.63,33.45,17.25,4.06,3.00,1.75,100.00%,55.82%,32.99%,51.58%,42.11%,31.18%,18.17%,100.00%,9.50%,32.99%,17.02%,4.00%,2.96%,1.73%,49506.3,68492.5,46918.2,47285.6,69087.1,68311.7,60125.3,161520.0,965190.8,450989.0,800831.8,1088294.0,798016.7,921217.9,114179.8,711187.9,316819.3,557979.1,1124066.9,306724.4,171332.3
ST2-3 T24 8_2,2020-10-21 16:35:11,1040.2,NOR3_Cr0015 HNF,106420,10184,43149,17887,3876,3515,1607,102.31,9.79,41.48,17.20,3.73,3.38,1.54,100.00%,56.94%,40.55%,41.45%,38.06%,34.51%,15.78%,100.00%,9.57%,40.55%,16.81%,3.64%,3.30%,1.51%,49460.3,70431.8,43352.5,48847.5,74991.2,64711.9,63128.3,166218.0,946388.9,377964.3,754157.6,1037424.8,812774.4,967958.9,113808.8,681643.1,258962.5,504386.2,1076838.4,328120.6,180202.3
ST2-3 T24 9_1,2020-10-21 16:39:37,1005.0,NOR3_Cr0015 HNF,157668,18404,53407,29231,6324,8541,1747,156.88,18.31,53.14,29.09,6.29,8.50,1.74,100.00%,62.96%,33.87%,54.73%,34.36%,46.41%,9.49%,100.00%,11.67%,33.87%,18.54%,4.01%,5.42%,1.11%,49776.9,69597.7,48090.0,51436.9,79994.0,61356.0,59898.9,212336.1,1199880.3,567151.9,970570.2,1471278.3,1028984.6,1023900.3,140699.8,814296.4,369734.6,627678.8,1390814.3,432386.9,194834.8
ST2-3 T24 9_2,2020-10-21 16:45:22,1005.0,NOR3_Cr0015 HNF,83743,11929,38005,23550,4385,4414,1584,83.33,11.87,37.82,23.43,4.36,4.39,1.58,100.00%,50.65%,45.38%,61.97%,36.76%,37.00%,13.28%,100.00%,14.24%,45.38%,28.12%,5.24%,5.27%,1.89%,59007.3,63488.9,43451.7,41740.1,66551.6,59152.9,61020.3,269842.2,1041841.6,550379.2,834793.3,1029455.4,977317.5,1207247.9,176348.9,702097.9,354748.6,524872.6,1026294.6,409691.3,223714.0
ST2-3 T24 10_1,2020-10-21 16:51:13,1005.0,NOR3_Cr0015 HNF,265554,27355,100469,42420,7288,12145,5201,264.23,27.22,99.97,42.21,7.25,12.08,5.18,100.00%,64.49%,37.83%,42.22%,26.64%,44.40%,19.01%,100.00%,10.30%,37.83%,15.97%,2.74%,4.57%,1.96%,47682.9,64809.9,45505.3,49397.6,74525.1,59397.0,56558.4,145604.4,883113.6,373942.6,763785.0,1004477.1,801093.4,816078.8,86598.8,521191.7,218069.5,431918.7,963863.8,324058.5,152717.7
ST2-3 T24 10_2,2020-10-21 16:56:58,1005.0,NOR3_Cr0015 HNF,189974,27256,80928,43075,5626,15551,3119,189.03,27.12,80.53,42.86,5.60,15.47,3.10,100.00%,63.28%,42.60%,53.23%,20.64%,57.06%,11.44%,100.00%,14.35%,42.60%,22.67%,2.96%,8.19%,1.64%,51229.9,68585.0,47375.0,50966.1,77443.9,65195.1,57631.8,256134.9,1207510.0,571376.3,984742.8,1218340.4,1205100.3,1045166.4,141958.6,671382.2,313897.1,529726.0,1145733.1,505364.8,203918.4
ST2-3 T24 11_1,2020-10-21 17:02:44,1005.0,NOR3_Cr0015 HNF,488385,17752,93188,25687,8185,5554,2972,485.96,17.66,92.72,25.56,8.14,5.53,2.96,100.00%,69.11%,19.08%,27.56%,46.11%,31.29%,16.74%,100.00%,3.63%,19.08%,5.26%,1.68%,1.14%,0.61%,45818.0,66510.7,49116.1,53209.4,70296.1,61752.3,60025.0,39887.1,656455.4,207752.5,591942.6,832002.7,456650.3,531780.1,33827.6,581285.4,169575.7,502330.5,972701.3,169133.4,100128.6
ST2-3 T24 11_2,2020-10-21 17:08:20,1005.0,NOR3_Cr0015 HNF,345659,13421,60387,18937,5757,4664,1958,343.94,13.35,60.09,18.84,5.73,4.64,1.95,100.00%,70.87%,17.47%,31.36%,42.90%,34.75%,14.59%,100.00%,3.88%,17.47%,5.48%,1.67%,1.35%,0.57%,46204.5,72670.0,50499.7,58116.8,84354.5,61806.4,58125.5,55702.2,967075.8,307037.7,843193.7,1357724.5,656832.4,497931.2,43056.8,798403.2,233726.9,663411.8,1407786.8,273418.0,90916.3
