Experiment Name:,NOR3 CR0015 HNF St 2-3'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
1.8um,2020-08-04 17:11:16,13.5,NOR3_Cr0015 HNF,198,9,39,23,2,0,1,14.64,0.67,2.88,1.70,0.15,0.00,0.07,100.00%,39.13%,19.70%,58.97%,22.22%,0.00%,11.11%,100.00%,4.55%,19.70%,11.62%,1.01%,0.00%,0.51%,50491.1,36322.0,41035.9,27926.4,37395.4,####,82426.7,7688437.0,4736016.0,3490272.0,5838757.0,324021.7,####,1381839.6,235696.5,240435.3,171061.5,209297.7,360159.9,####,301399.2
ST2-3 T0 6,2020-10-21 09:45:34,1005.0,NOR3_Cr0015 HNF,13611,1649,6544,4160,1450,91,63,13.54,1.64,6.51,4.14,1.44,0.09,0.06,100.00%,39.64%,48.08%,63.57%,87.93%,5.52%,3.82%,100.00%,12.12%,48.08%,30.56%,10.65%,0.67%,0.46%,240597.7,74771.0,49923.3,40863.5,70796.7,92346.2,94204.6,449378.9,1491774.6,695034.0,1016004.1,1404056.0,1875062.6,2614675.0,398156.3,1571973.9,722393.7,1006311.9,1599313.6,792525.2,463514.0
ST2-3 T0 7,2020-10-21 09:52:00,1005.0,NOR3_Cr0015 HNF,14825,1691,8070,3546,1328,186,102,14.75,1.68,8.03,3.53,1.32,0.19,0.10,100.00%,47.69%,54.44%,43.94%,78.53%,11.00%,6.03%,100.00%,11.41%,54.44%,23.92%,8.96%,1.25%,0.69%,384289.7,102393.3,63406.3,60972.1,97494.9,96698.2,77767.4,406124.2,1401698.5,483091.6,930043.7,1182582.0,1627720.6,2894405.0,494268.5,1918483.0,722962.4,1201358.9,1923056.8,657947.1,521700.2
ST2-3 T0 8,2020-10-21 09:59:24,1005.0,NOR3_Cr0015 HNF,14830,1803,7959,3369,1414,218,87,14.76,1.79,7.92,3.35,1.41,0.22,0.09,100.00%,53.52%,53.67%,42.33%,78.42%,12.09%,4.83%,100.00%,12.16%,53.67%,22.72%,9.53%,1.47%,0.59%,354025.3,107482.0,69138.1,68791.2,105183.4,94452.5,74760.9,474482.1,1353433.5,488864.3,977182.0,1149989.3,1603874.4,2681611.3,536021.4,1926122.9,745287.1,1306136.1,2022772.8,626564.8,474804.0
ST2-3 T0 9,2020-10-21 10:05:38,1005.0,NOR3_Cr0015 HNF,15183,2541,9560,4777,1990,280,171,15.11,2.53,9.51,4.75,1.98,0.28,0.17,100.00%,53.19%,62.97%,49.97%,78.32%,11.02%,6.73%,100.00%,16.74%,62.97%,31.46%,13.11%,1.84%,1.13%,184023.5,100204.4,63166.3,63221.0,95116.4,101648.8,82615.8,539711.2,1272189.5,528723.7,919480.3,1022375.1,1518623.9,3071065.3,557494.7,1650568.3,724648.4,1140895.5,1728056.5,609988.1,551598.1
ST2-3 T0 10,2020-10-21 10:11:37,1005.0,NOR3_Cr0015 HNF,28553,5170,17425,8288,4363,416,201,28.41,5.14,17.34,8.25,4.34,0.41,0.20,100.00%,62.38%,61.03%,47.56%,84.39%,8.05%,3.89%,100.00%,18.11%,61.03%,29.03%,15.28%,1.46%,0.70%,162670.3,98194.2,68297.9,69874.9,93819.2,94212.9,88976.8,456698.3,1234440.5,525627.7,949881.7,1082563.1,1603633.5,2398622.3,661167.9,2081989.1,935186.6,1564090.9,2157987.5,634546.8,443516.2
ST2-3 T0 11,2020-10-21 10:17:24,1005.0,NOR3_Cr0015 HNF,27848,4952,16331,10963,4403,289,142,27.71,4.93,16.25,10.91,4.38,0.29,0.14,100.00%,45.17%,58.64%,67.13%,88.91%,5.84%,2.87%,100.00%,17.78%,58.64%,39.37%,15.81%,1.04%,0.51%,149895.3,75866.3,53269.7,46087.1,70215.3,91446.9,80228.4,411450.8,976627.5,513137.9,697238.4,829111.8,1664958.0,3051800.5,530142.0,1444361.3,797520.3,1030685.0,1397403.8,644270.1,558178.3
ST2-3 T12 6-1,2020-10-21 14:57:43,1005.0,NOR3_Cr0015 HNF,9338,2011,6849,4269,1601,130,65,9.29,2.00,6.81,4.25,1.59,0.13,0.06,100.00%,47.11%,73.35%,62.33%,79.61%,6.46%,3.23%,100.00%,21.54%,73.35%,45.72%,17.14%,1.39%,0.70%,57438.7,77989.7,44070.3,46627.5,75952.4,90491.5,74885.3,616782.8,1278199.6,569587.4,806214.7,1174883.6,1801681.9,1749410.5,449333.8,1087227.0,477629.7,658530.4,1149084.6,700213.9,321595.9
ST2-3 T12 6-2,2020-10-21 14:59:57,1004.9,NOR3_Cr0015 HNF,16117,2776,13270,6173,2408,172,92,16.04,2.76,13.20,6.14,2.40,0.17,0.09,100.00%,44.97%,82.34%,46.52%,86.74%,6.20%,3.31%,100.00%,17.22%,82.34%,38.30%,14.94%,1.07%,0.57%,112626.8,74926.1,43228.5,43867.2,72320.6,79414.6,72263.3,510510.0,1303957.3,493771.3,888830.4,1258664.6,1605161.0,1650782.6,415161.2,1248299.9,445941.2,803054.6,1276303.5,649548.6,275985.2
ST2-3 T12 7-1,2020-10-21 15:01:39,1005.0,NOR3_Cr0015 HNF,17768,4243,15453,9600,3615,301,162,17.68,4.22,15.38,9.55,3.60,0.30,0.16,100.00%,44.20%,86.97%,62.12%,85.20%,7.09%,3.82%,100.00%,23.88%,86.97%,54.03%,20.35%,1.69%,0.91%,49686.9,75762.9,43622.9,43938.2,69523.6,77417.5,57234.5,552909.7,1130856.6,562524.3,807014.7,1053096.8,1360620.6,1434457.1,630022.3,1430367.3,664407.6,957693.8,1373609.6,537189.6,263838.0
